sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.ca2abe1b5beafp+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.ca275d81ebf48p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.ca370f08d89aep+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.ca20670657c7fp+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.ca3d5e8f4b039p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.ca32e08e94fd7p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.ca33f31c3c3b5p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.ca2e1d82836aep+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.ca352c8cdce68p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.ca1b5d5da2cddp+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.c9acbbcc97355p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.c9b04e2dda99cp+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.c9a7ae4dc1fedp+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.c9b0448654022p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.c9aa2a666762ep+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.c9be1bb453b15p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.c9af834cd4e91p+49,998966650625554
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.c9c65c3549894p+49,998966650625554
