sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.0fc57fd349e6ep+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.130a97ab69621p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.0e9ea61a9a49fp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.0e0341cd961bp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.0a0ff2371eaafp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.117281dc9a10ep+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.0c149370d5299p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.1786bd2e2b176p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.143423e0863b8p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.0a3df60e7ec7bp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.1b48cb85be98ap+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.14e0b2b2cbdaep+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.1fb87321286c5p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.1422c64c6f5e6p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.1595536f9d122p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.17c497cf1c7edp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.18b0b00d3ac4cp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.183fcd52c99f6p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.2a385575d3ceep+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.19d91bc342f98p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.10a76d51767p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.168b182c3792p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.19677ffe66d03p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,4,1.14515d5962b91p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,5,1.1a8aff1ed415dp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,6,1.16540104f65fap+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,7,1.161a8e087e82ap+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,8,1.0fe43871cdf59p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,9,1.1b6ea2e67697bp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,10,1.148a826f2d14p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,1,1.1acc7b6b3de1bp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,2,1.1968bae1bcec7p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,3,1.1714d42d35874p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,4,1.1dc3b40b2b4fap+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,5,1.1dcb5a393fecdp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,6,1.1d6937697ce0ap+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,7,1.175f7fff0c33p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,8,1.1c501a741909bp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,9,1.21c7e543b58b5p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,10,1.1a0866b497cf9p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,1,1.1bad491c9d4dp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,2,1.1957d8d8f404cp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,3,1.192dcaf4fcd86p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,4,1.1d244ddd27837p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,5,1.1b2c8479b911ap+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,6,1.236d324340779p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,7,1.195a01de2302dp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,8,1.165db1d0c4e38p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,9,1.203e5ad7c528cp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,10,1.18b952068b82dp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,1,1.1c30e5557aaacp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,2,1.16268cbcbf637p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,3,1.16b3d31d26483p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,4,1.196b8d07c772bp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,5,1.1cd1e58fcd433p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,6,1.209effc92cc32p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,7,1.23416bdd38556p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,8,1.1a8cafc2a051fp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,9,1.19098f7ef78eap+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,10,1.1c2c9ce9b984dp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,1,1.1e5662c29573p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,2,1.1fe28b4c88711p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,3,1.18fae958d08ddp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,4,1.1ba02f528cdcfp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,5,1.1c08d4e4a5f7fp+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,6,1.173f69ff60412p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,7,1.16fa01704a4d8p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,8,1.1bbb62d331ef7p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,9,1.19a65c6468ef5p+11,6044
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,10,1.19aedb19f7c06p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,1,1.10f65e0bde031p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,2,1.12394379de161p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,3,1.1c8624d9901a6p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,4,1.142d2f86dafdbp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,5,1.1568e4db050cp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,6,1.16c21c8281f98p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,7,1.1522543e0c292p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,8,1.19e0f77e17282p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,9,1.1926aa1ea5ee4p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,64,10,1.15a13788e6347p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,1,1.0d985c73b4634p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,2,1.0d72a856b6bcep+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,3,1.0c3884db8bf5ap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,4,1.0e2b7120d3608p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,5,1.172224eeccc12p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,6,1.1020ccca7426dp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,7,1.090bf7fc21205p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,8,1.0d214081e62e6p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,9,1.0babed3c8d8aap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,128,10,1.09dde77448695p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,1,1.158c3644784eep+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,2,1.11eb88de9d1bbp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,3,1.0ff8a913d4decp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,4,1.12a46979343b6p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,5,1.17bf10b1aacf8p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,6,1.1178c2efef32dp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,7,1.12bebd2436d3ap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,8,1.1091358ddb34dp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,9,1.0fe59e8cc2ac8p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,256,10,1.0f5f2a206be63p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,1,1.12d761f3b35ap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,2,1.160ec35372f03p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,3,1.0e8c7a04ecb88p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,4,1.11f02010c9ac3p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,5,1.0e6ec1c20c5fbp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,6,1.144043bd3a062p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,7,1.0b927e07435b7p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,8,1.15a22b96bba59p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,9,1.0f82f3961139fp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,512,10,1.17e9f32854a7dp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,1,1.0e21f20a3567ep+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,2,1.10e7ba1be55a4p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,3,1.11914365c3e2p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,4,1.0f4a3d5f03bd5p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,5,1.0eb28219be07cp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,6,1.15181b3124653p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,7,1.107c0d648b5bap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,8,1.106f7ce3cd829p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,9,1.14ac63adde225p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,1024,10,1.1af111714c4ebp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,1,1.14bf102d34b5bp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,2,1.10f2af8cd8892p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,3,1.16ebb14d8630cp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,4,1.0f58020ef6de5p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,5,1.16496586aea14p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,6,1.15845906f20b6p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,7,1.0dc62003b9a4ap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,8,1.10d1096d507a7p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,9,1.15da91447166p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,2048,10,1.13e17ba8c64fp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,1,1.0fa0d0f475f1dp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,2,1.19aed23abf4fap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,3,1.15dcbdb692f52p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,4,1.136711882bc9dp+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,5,1.1892a9adc1d53p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,6,1.1deaa8e6e4657p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,7,1.133ee0d722cc4p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,8,1.13dcf6705cdd1p+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,9,1.1423deca1b53ap+11,6044
central_bucket_expo_abs_0.001_k=k_kh=0,4096,10,1.11d9d783c39bbp+11,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,1,1.821bf9c799ad9p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,2,1.8221eda83560fp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,3,1.81941739c0236p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,4,1.821785be14fb6p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,5,1.81f63d6230e96p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,6,1.82b07a0ecae6dp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,7,1.800722d3e6ec2p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,8,1.82c4fa7f58c86p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,9,1.8206f5bab2745p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,64,10,1.826683882136bp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,1,1.92c61eeca5b58p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,2,1.92219b25a337fp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,3,1.9107401a43bd5p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,4,1.924cab81bf605p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,5,1.9179a9a38289cp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,6,1.930844756efddp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,7,1.90fe4954a44b6p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,8,1.91d20a9a4a57fp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,9,1.927c7889345a6p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,128,10,1.92e89b27cde6ep+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,1,1.51a10cd391256p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,2,1.52cf303161df5p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,3,1.54321d2ac4a86p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,4,1.52368d8719707p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,5,1.52084cb46d4e6p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,6,1.52d10d7e967d7p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,7,1.532eca2d276f1p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,8,1.51be2726b147ep+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,9,1.525018aaaab57p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,256,10,1.52d2297922f34p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,1,1.734f5fda4c66dp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,2,1.72a1fcdf760e4p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,3,1.7544e48bb5fbdp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,4,1.74eb7cafac8cbp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,5,1.7406dfe634c34p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,6,1.72ab457ed2b2bp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,7,1.73a57e21a5a0ep+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,8,1.73b498601da5ap+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,9,1.736c8d0d22ef4p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,512,10,1.740a8d634655fp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,1024,1,1.72ef5dda1b453p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,1024,2,1.7399f34351567p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,1024,3,1.72cd52c3c89bp+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,1024,4,1.73760c16cf2b8p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,1024,5,1.748db9dc2abb1p+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,1024,6,1.739e6b53df16ep+12,6044
central_bucket_expo_rel_0.05_k=k/2_kh=k/2,1024,7,1.750049081493fp+12,6044
