sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.31cad0cc5b94bp+51,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.316a16a3a9958p+51,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.31953c9c3b9cep+51,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.31d3fd795d679p+51,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.31189959a3cep+51,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.329f9fe6afe4p+51,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.3196b923af10dp+51,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.32e6635390abbp+51,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.321171fe04cf2p+51,83667722768
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.31e2790f3576p+51,81516779048
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.e8b1469166b38p+50,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.e8413a8474c1cp+50,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.e7acfd9596553p+50,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.e7da43afd3a3fp+50,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.e8e43ad0aa12p+50,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.e7a5bc885464dp+50,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.e766099afef73p+50,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.e7c26dee5be88p+50,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.e842c61e9c69dp+50,83667722768
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.e7a99abb8b16cp+50,81516779048
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.ca823090db2f4p+50,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.cb399143037a8p+50,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.cb94301adf645p+50,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,4,1.ca232f37c8d6ap+50,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,5,1.cb6b0efa50abbp+50,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,6,1.cabf46d7cf45dp+50,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,7,1.cb833229905a3p+50,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,8,1.ca402820b76c1p+50,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,9,1.cabd59a2f0e27p+50,83667722768
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,10,1.cb5a79ff0615ap+50,81516779048
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,1,1.c8556a5015716p+50,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,2,1.c81fd73e52ba5p+50,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,3,1.c7ae9f5d05b28p+50,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,4,1.c75775bf198e5p+50,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,5,1.c732522ce6453p+50,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,6,1.c81ed99fef067p+50,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,7,1.c731727971d47p+50,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,8,1.c8af7cf089f02p+50,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,9,1.c8817075757e2p+50,83667722768
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,512,10,1.c8aa5ba7d306bp+50,81516779048
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,1,1.c697851a8afcap+50,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,2,1.c6581545d6321p+50,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,3,1.c732a9f80a739p+50,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,4,1.c5ccf94ed3ee2p+50,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,5,1.c664111edc9afp+50,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,6,1.c5bab922cf754p+50,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,7,1.c7946600afd97p+50,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,8,1.c60675dae056cp+50,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,9,1.c6a15cb256a75p+50,83667722768
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,1024,10,1.c713dbcfb425cp+50,81516779048
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,1,1.c501f251dee48p+50,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,2,1.c41472ddaf16ap+50,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,3,1.c4bbd4bf87038p+50,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,4,1.c5cad3c38f8fep+50,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,5,1.c5463af6c7861p+50,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,6,1.c5564292ecb6p+50,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,7,1.c3ecbe8f25616p+50,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,8,1.c65965a3bfb88p+50,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,9,1.c4f5547c31705p+50,83667722768
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,2048,10,1.c516bbeeaf325p+50,81516779048
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,1,1.c420c01bb8712p+50,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,2,1.c38aef897bb79p+50,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,3,1.c25a91f36212cp+50,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,4,1.c278ab8d1cb71p+50,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,5,1.c3b72bef84664p+50,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,6,1.c33ddce30b1e3p+50,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,7,1.c473bc7100f06p+50,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,8,1.c31cf948673f2p+50,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,9,1.c33664586448dp+50,83667722768
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,4096,10,1.c3a2bfcdb8291p+50,81516779048
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,1,1.bf2018235dd12p+50,3803303318690
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,2,1.c0371a7bab446p+50,13530143956
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,3,1.bea79a5a9b7a1p+50,6908134542
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,4,1.bf15bc8991f55p+50,4970556954
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,5,1.bead262833434p+50,2813036242
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,6,1.bea57c63aefbap+50,201295278970
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,7,1.c1056743e2b22p+50,993773811390
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,8,1.bf50f2f9e64fdp+50,16627776482
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,8192,9,1.c00cdc4636a94p+50,83667722768
