sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.1e6ce758160bbp+11,58
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.1d3dae3b4a287p+11,64
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.1cf74dde1b44p+11,63
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.1d32703c423cep+11,60
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.1cdf4fd0adcbap+11,58
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.1c43bb5fb9939p+11,50
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.1c0142d271766p+11,48
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.1c0d7b6cf074ap+11,51
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.1c178f2c41946p+11,49
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.1cf1a486036b5p+11,44
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.216c1bed83bc8p+11,58
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.20d4fc9ef2aeap+11,64
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.22a3a44968b37p+11,63
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.2209ede197ecep+11,60
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.221e89eaf7485p+11,58
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.22d6ca6ce5fbdp+11,50
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.21be86c8e6138p+11,48
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.228e576ebbdc1p+11,51
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.22b84c8abacbep+11,49
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.222bcb8b83f5bp+11,44
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.1b2e13eeed60dp+11,58
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.1c153e927f1c2p+11,64
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.1b842adef14d2p+11,63
