sketch_type,k,n_trial,estimate
bucket_expo_alt_abs_k=k/2_kh=k/2,64,1,1.5d820499623b7p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,2,1.8c743f143485ap+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,3,1.bdc593bbbd78cp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,4,1.89bfc7f7110b8p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,5,1.61c72063c951ap+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,6,1.974b22203268p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,7,1.6ec952f90525ep+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,8,1.8e5dcab60918ep+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,9,1.a5078752a1ff9p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,10,1.85f37f7118149p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,11,1.9b73740f47646p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,12,1.87e0e2b5b392ep+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,13,1.639681d456b89p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,14,1.604e360737e7dp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,15,1.6c23afa17337p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,16,1.61311b24d5428p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,17,1.5f9761ff495bfp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,18,1.92732d5a0da05p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,19,1.7eca17e6cbdfdp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,20,1.9cc161e7d2386p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,21,1.a8426c4befa6cp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,22,1.6ab1d2779dd2ep+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,23,1.8a12d8db4959ep+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,24,1.768ba71fbe6b4p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,25,1.9be1cc58f9fa2p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,26,1.c8af4e44afa07p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,27,1.97586c020f03p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,28,1.af7b976a80769p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,29,1.ba4b0e98b0229p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,64,30,1.8dd0d71757d92p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,1,1.a15c7c41f60b3p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,2,1.d223c1fbcd4cdp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,3,1.c2bba91b2b369p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,4,1.70c35ba7bbdf4p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,5,1.64840c6bc895fp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,6,1.dab41592256e5p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,7,1.1537eb6009804p+53
bucket_expo_alt_abs_k=k/2_kh=k/2,128,8,1.4dfdc18dcc275p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,9,1.1458524c86aaap+53
bucket_expo_alt_abs_k=k/2_kh=k/2,128,10,1.7bcfe63452ab7p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,11,1.b4ab6c5c2bdc7p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,12,1.b159e76d21df4p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,13,1.68aaa03cbba76p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,14,1.8a1e68ed8be18p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,15,1.bd835422a002cp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,16,1.9d547c82cfae2p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,17,1.7b66f2936114fp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,18,1.f7a6aa210d2p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,19,1.8ea692e0d3845p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,20,1.9de027a8c1746p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,21,1.9b481bdb7c07ep+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,22,1.9c9837a0bc82cp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,23,1.090c0ffc2bc7fp+53
bucket_expo_alt_abs_k=k/2_kh=k/2,128,24,1.bd8a809c46e3dp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,25,1.948fd3f63e49fp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,26,1.88504d83a936dp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,27,1.78ba88de97664p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,28,1.70bac4d130846p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,29,1.c35f501029493p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,128,30,1.ab37e8c246032p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,1,1.684c672969f2fp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,2,1.7e45139bc54a6p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,3,1.e198c28bbb145p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,4,1.990e7ab43288p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,5,1.7991946505976p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,6,1.d0b686adc54p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,7,1.6a865906580eap+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,8,1.e62ce7db44e72p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,9,1.7426f1ef12b02p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,10,1.02264c09da2d2p+53
bucket_expo_alt_abs_k=k/2_kh=k/2,256,11,1.beb04c9276647p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,12,1.954d92499ad79p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,13,1.a9c8676157bc3p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,14,1.ee8ee8f783fabp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,15,1.05ccc5cb53e73p+53
bucket_expo_alt_abs_k=k/2_kh=k/2,256,16,1.8b6836498f1f6p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,17,1.9a252482fb9cap+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,18,1.d98d1e5cc4714p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,19,1.f40f329d74304p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,20,1.9180217de2aa6p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,21,1.faaaac0885304p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,22,1.16dcd6bdf6662p+53
bucket_expo_alt_abs_k=k/2_kh=k/2,256,23,1.9ed086c48b30dp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,24,1.f3ce142a73768p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,25,1.802c622134184p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,26,1.7a6b5a021b0dbp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,27,1.f7d7c113c0851p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,28,1.d2ddfc69cfd52p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,29,1.ab235bef189e4p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,256,30,1.615efa81d65f6p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,1,1.79b49f5ba18ddp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,2,1.6627176b7369ap+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,3,1.94c21a846fd93p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,4,1.7984199955e3ap+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,5,1.bd0d31294a56bp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,6,1.8770f090fc98cp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,7,1.0aaec6f48e926p+53
bucket_expo_alt_abs_k=k/2_kh=k/2,512,8,1.bb2a01061063p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,9,1.9c176f86f5c9cp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,10,1.d43f97ee1bbe1p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,11,1.5447e48d2d07ap+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,12,1.6d22d4d28231p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,13,1.69d65c79c6553p+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,14,1.6d3163d50c59bp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,15,1.5dbd1bc3e3d4dp+52
bucket_expo_alt_abs_k=k/2_kh=k/2,512,16,1.9070456b0856bp+52
