sketch_type,k,n_trial,estimate,exact
bucket_expo_alt_abs_k=k/2_kh=k/2,64,1,1.76ff35c7f4d89p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,2,1.bf39389bbe81bp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,3,1.568aa9b04005p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,4,1.74932f21fe2bcp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,5,1.6f1c918d8b92ep+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,6,1.911f24eef9eb1p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,7,1.7a1aade4673fdp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,8,1.d5497cb35e4e7p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,9,1.c1e863e829f6p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,10,1.9000396482d82p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,11,1.5994d17d41c52p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,12,1.8a23475171505p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,13,1.50dd2b1c5bc69p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,14,1.72dbfe349d95dp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,15,1.264d8294468e6p+70,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,16,1.ff9075f50268ap+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,17,1.87afb0b6038ebp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,18,1.56c00b47bef8bp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,19,1.7b9d7cb1afcep+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,20,1.799a55e2da866p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,21,1.a3d6038891c45p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,22,1.5e52703b19b5ap+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,23,1.5668232935526p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,24,1.975b11e28b23fp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,25,1.4b7359f4ffb09p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,26,1.7ce831b1bae39p+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,27,1.c2dc0850b3b9bp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,28,1.518596909b48dp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,29,1.6c8436ecb68ffp+69,95524854700726448442
bucket_expo_alt_abs_k=k/2_kh=k/2,64,30,1.58a3b7e5a50ap+69,95524854700726448442
