sketch_type,k,n_trial,estimate,exact
bucket_expo_alt_abs_k=k/2_kh=k/2,64,1,1.41aa1533856ecp+63,1934720918354146
bucket_expo_alt_abs_k=k/2_kh=k/2,64,2,1.3730109341e77p+63,1931364941714538
bucket_expo_alt_abs_k=k/2_kh=k/2,64,3,1.3fcb276a007dcp+63,1921118736286738
bucket_expo_alt_abs_k=k/2_kh=k/2,64,4,1.5b5d8d123022cp+63,1938397998472256
bucket_expo_alt_abs_k=k/2_kh=k/2,64,5,1.617205f4ba6f5p+63,1911029660609888
bucket_expo_alt_abs_k=k/2_kh=k/2,64,6,1.47ac9c8ce7147p+63,1935162163341804
bucket_expo_alt_abs_k=k/2_kh=k/2,64,7,1.524b68d3c21ffp+63,1955688218298804
bucket_expo_alt_abs_k=k/2_kh=k/2,64,8,1.58110906f6d08p+63,1916476823761476
bucket_expo_alt_abs_k=k/2_kh=k/2,64,9,1.1419fafd47b5bp+63,1927129460824368
bucket_expo_alt_abs_k=k/2_kh=k/2,64,10,1.427d8c1ca596cp+63,1945123369351242
bucket_expo_alt_abs_k=k/2_kh=k/2,64,11,1.3fb68e2b0f31bp+63,1913094568169664
bucket_expo_alt_abs_k=k/2_kh=k/2,64,12,1.2d100f3936a5dp+63,1933031639678482
bucket_expo_alt_abs_k=k/2_kh=k/2,64,13,1.486550d3dd6b9p+63,1916358084382840
bucket_expo_alt_abs_k=k/2_kh=k/2,64,14,1.35d9c4c62e244p+63,1938723522677728
bucket_expo_alt_abs_k=k/2_kh=k/2,64,15,1.6008b51fe30f6p+63,1964991582807916
bucket_expo_alt_abs_k=k/2_kh=k/2,64,16,1.748129284c5f5p+63,1888027771453170
bucket_expo_alt_abs_k=k/2_kh=k/2,64,17,1.4c34fd3c499e9p+63,1915137324443456
bucket_expo_alt_abs_k=k/2_kh=k/2,64,18,1.3f0a193e96f5ap+63,1964383171976896
bucket_expo_alt_abs_k=k/2_kh=k/2,64,19,1.4d1e89caba4b7p+63,1909605359656074
bucket_expo_alt_abs_k=k/2_kh=k/2,64,20,1.4adeebb988f6dp+63,1941942064904900
bucket_expo_alt_abs_k=k/2_kh=k/2,64,21,1.5734cc54fdc9fp+63,1934727049825514
bucket_expo_alt_abs_k=k/2_kh=k/2,64,22,1.562e2f70eafb5p+63,1930107908377616
bucket_expo_alt_abs_k=k/2_kh=k/2,64,23,1.4d6b248afd996p+63,1970821088238220
bucket_expo_alt_abs_k=k/2_kh=k/2,64,24,1.3b0ed618a7fbp+63,1940363245229744
bucket_expo_alt_abs_k=k/2_kh=k/2,64,25,1.65b48cdd6f2fep+63,1917806784318618
bucket_expo_alt_abs_k=k/2_kh=k/2,64,26,1.47bd3e22feaf1p+63,1941209052173956
bucket_expo_alt_abs_k=k/2_kh=k/2,64,27,1.519fc2fa12462p+63,1936805399024214
bucket_expo_alt_abs_k=k/2_kh=k/2,64,28,1.424121b7ef6a1p+63,1927041590069524
bucket_expo_alt_abs_k=k/2_kh=k/2,64,29,1.3fff8c662b621p+63,1953668130312962
bucket_expo_alt_abs_k=k/2_kh=k/2,64,30,1.62bbd8f3b9681p+63,1920345270666344
bucket_expo_alt_abs_k=k/2_kh=k/2,128,1,1.7747e2e6761e5p+63,1934720918354146
bucket_expo_alt_abs_k=k/2_kh=k/2,128,2,1.660efcb6d1e86p+63,1931364941714538
bucket_expo_alt_abs_k=k/2_kh=k/2,128,3,1.561eea114767cp+63,1921118736286738
bucket_expo_alt_abs_k=k/2_kh=k/2,128,4,1.5dd393fee4724p+63,1938397998472256
bucket_expo_alt_abs_k=k/2_kh=k/2,128,5,1.6478326beadbdp+63,1911029660609888
bucket_expo_alt_abs_k=k/2_kh=k/2,128,6,1.5dde2ff989b38p+63,1935162163341804
bucket_expo_alt_abs_k=k/2_kh=k/2,128,7,1.6324c4d0fc1b4p+63,1955688218298804
bucket_expo_alt_abs_k=k/2_kh=k/2,128,8,1.604ed5c32b638p+63,1916476823761476
bucket_expo_alt_abs_k=k/2_kh=k/2,128,9,1.6b89c5fecc2b9p+63,1927129460824368
bucket_expo_alt_abs_k=k/2_kh=k/2,128,10,1.62d317f7a72f6p+63,1945123369351242
bucket_expo_alt_abs_k=k/2_kh=k/2,128,11,1.4fd34c97e6931p+63,1913094568169664
bucket_expo_alt_abs_k=k/2_kh=k/2,128,12,1.5fb5b114557f2p+63,1933031639678482
bucket_expo_alt_abs_k=k/2_kh=k/2,128,13,1.3d0cbdea87544p+63,1916358084382840
bucket_expo_alt_abs_k=k/2_kh=k/2,128,14,1.7116ceb687da4p+63,1938723522677728
bucket_expo_alt_abs_k=k/2_kh=k/2,128,15,1.5b6425c5c8fadp+63,1964991582807916
bucket_expo_alt_abs_k=k/2_kh=k/2,128,16,1.633619e46df8bp+63,1888027771453170
bucket_expo_alt_abs_k=k/2_kh=k/2,128,17,1.569a5a2ad14f5p+63,1915137324443456
bucket_expo_alt_abs_k=k/2_kh=k/2,128,18,1.6fecc5faa5533p+63,1964383171976896
