sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.af71bf99cc61p+37,43942599148
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.a8c2aa356cbedp+37,44099371126
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.b99e1f9f968e2p+37,44222233474
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.aa1231c84d541p+37,43717002646
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.a9e7dff07edecp+37,44493958432
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.b12dd11bb918cp+37,43714544572
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.b06691d815277p+37,43696601248
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.b01adbac1cf1ap+37,43587308320
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.bf318e6816836p+37,43592921422
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.aa73f939eb48cp+37,43535174662
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.6bb8ae827dc7ep+37,43942599148
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.7415b51fa327cp+37,44099371126
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.70955d7fa97d5p+37,44222233474
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.7b27e612cd96fp+37,43717002646
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.70ce8e3a9e1fbp+37,44493958432
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.7053abf1fe9e2p+37,43714544572
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.735d0f90c49b5p+37,43696601248
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.71d466bc1a202p+37,43587308320
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.72e0db8ebe7c2p+37,43592921422
