sketch_type,k,n_trial,estimate,exact
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,1,1.99c6fe3eb0209p+10,6515
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,2,1.c34f149eed37ep+10,6557
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,3,1.7799aa56b3739p+10,6528
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,4,1.92ac4a491cfb2p+10,6593
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,5,1.80e364ad02a85p+10,6574
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,6,1.982b4aa688421p+10,6562
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,7,1.ddf524f6fb368p+10,6574
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,8,1.9ba0f9a55164p+10,6543
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,9,1.a1a711631fca6p+10,6548
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,64,10,1.871c98576a31p+10,6556
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,1,1.9c760fccd26d7p+10,6515
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,2,1.778a9acacce81p+10,6557
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,3,1.900cd4c858af7p+10,6528
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,4,1.b4975ce091a79p+10,6593
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,5,1.b880ff553e139p+10,6574
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,6,1.baad41edcbb63p+10,6562
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,7,1.7aa751cab80c3p+10,6574
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,8,1.9811a55edb182p+10,6543
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,9,1.a6823130d4bd5p+10,6548
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,128,10,1.9ad93d85df1f3p+10,6556
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,1,1.888ced9b7415fp+10,6515
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,2,1.8b45fbce9393bp+10,6557
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,3,1.9929fc78cfce5p+10,6528
central_bucket_expo_abs_0.001_k=k/2_kh=k/2,256,4,1.a8258920bc812p+10,6593
