sketch_type,k,n_trial,estimate,exact
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,1,1.689ab2e9fbd09p+37,44164027516
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,2,1.6b0e704436996p+37,43478987662
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,3,1.643e6c7c78beep+37,43255348330
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,4,1.7bc39db63bfaep+37,43661233432
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,5,1.7415646690855p+37,43865268184
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,6,1.673287dc8b75cp+37,44040152644
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,7,1.7364a73ad100dp+37,43762089100
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,8,1.77088381058a2p+37,43396228660
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,9,1.62c9bf823d34fp+37,43698382744
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,10,1.6a10669126468p+37,44289968626
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,11,1.725e7b475594ap+37,43972677496
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,12,1.677c826609f02p+37,44579814262
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,13,1.6a7a80f95451fp+37,43838459452
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,14,1.669af9d237bcap+37,43751330734
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,15,1.61fb587b1c82cp+37,44025586840
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,16,1.71c3205d98b6p+37,44432514838
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,17,1.64ed79a2b846cp+37,43919048620
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,18,1.6894a9e78a2e8p+37,43784356408
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,19,1.6f4b0deaf79bbp+37,42770015092
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,20,1.6cc38ffb69bb6p+37,43848978172
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,21,1.7534cc8a75e2bp+37,44436187336
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,22,1.708f5b96b95f3p+37,43387180870
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,23,1.69363f815601ap+37,43648975468
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,24,1.63660f586d1f1p+37,44109692812
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,25,1.6dde1c6edc798p+37,44560612138
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,26,1.6b28a0ec248c3p+37,43213902610
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,27,1.75347ef00707p+37,42964748620
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,28,1.5f05b6d1e7e4ep+37,43730817202
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,29,1.627f65d86e557p+37,43027369390
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,30,1.68ebd1d1f454ap+37,43545745246
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,1,1.66feda9db2606p+37,44164027516
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,2,1.6b51542c43ebdp+37,43478987662
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,3,1.66f1f01222a9cp+37,43255348330
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,4,1.66dd6b8bd7587p+37,43661233432
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,5,1.5bbed60553123p+37,43865268184
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,6,1.623ddea7066e8p+37,44040152644
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,7,1.67a74a257cf68p+37,43762089100
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,8,1.6ac8156e04f29p+37,43396228660
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,9,1.6aff0df7cc9d7p+37,43698382744
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,10,1.62efb2f8b5999p+37,44289968626
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,11,1.5e0ac2c37e535p+37,43972677496
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,12,1.666c3c59c1e3dp+37,44579814262
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,13,1.64e0a2a337053p+37,43838459452
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,14,1.6bbcd66a6e8aap+37,43751330734
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,15,1.65d0aebd4e0aap+37,44025586840
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,16,1.58912cd32f32fp+37,44432514838
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,17,1.5ff120705be8dp+37,43919048620
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,18,1.606d8e74ee347p+37,43784356408
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,19,1.68317bb9ad4acp+37,42770015092
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,20,1.6bf6aba484883p+37,43848978172
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,21,1.5f08ea4200beap+37,44436187336
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,22,1.5eb92ef5c8559p+37,43387180870
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,23,1.62b28b33937d4p+37,43648975468
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,24,1.6191eb69b7c3ep+37,44109692812
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,25,1.6a236e7c75a8fp+37,44560612138
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,26,1.691bf6dd528c4p+37,43213902610
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,27,1.5f925b0241684p+37,42964748620
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,28,1.6066ce1b52e13p+37,43730817202
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,29,1.62ade673a6d8fp+37,43027369390
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,30,1.691b78103edb2p+37,43545745246
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,1,1.57f662c4dfcfep+37,44164027516
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,2,1.4f6ef99e22d98p+37,43478987662
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,3,1.5a849b369c3f7p+37,43255348330
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,256,4,1.599f24e53bbf8p+37,43661233432
