sketch_type,k,n_trial,estimate,exact
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,1,1.1748261a898c2p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,2,1.17004ad80d646p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,3,1.1d8ff0a5b83b2p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,4,1.186790990b8d7p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,5,1.16c35374f79cfp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,6,1.13bf0eed339f8p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,7,1.17986bb1dbc3dp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,8,1.15b698472f06ep+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,9,1.130c5be404c0cp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,10,1.1952c13c80e14p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,11,1.117caa79c35b3p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,12,1.137dde2338ea1p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,13,1.1aaa38919d0f7p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,14,1.1522a7c6dae3p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,15,1.170e6afb261ep+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,16,1.1891620af5b79p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,17,1.18c16d06d7e7p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,18,1.12745cfce204dp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,19,1.1cbf56758da6dp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,20,1.1a039faa1f18cp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,21,1.183095e2bb00cp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,22,1.17bb1c225e72cp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,23,1.18a41bd752a22p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,24,1.174bbfeaa7bep+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,25,1.16bcc5e768f6dp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,26,1.14bc96f6f8405p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,27,1.1cbe6349cd6edp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,28,1.2286669a81a3ep+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,29,1.199405114ccddp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,30,1.1946742a1c4f2p+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,1,1.19515aab8fe2fp+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,2,1.1ed9e4dbaacap+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,3,1.17d63eaed9f1ap+11,6044
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,128,4,1.163585bfbdb5fp+11,6044
