sketch_type,k,n_trial,estimate,exact
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,1,1.d1928d5c23889p+10,6579
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,2,1.9aaea769687fcp+10,6551
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,3,1.c0088932f1603p+10,6600
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,4,1.8f88201c07b34p+10,6553
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,5,1.84222e80cf9dap+10,6543
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,6,1.a4d09fa90269fp+10,6509
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,7,1.8f48df8098349p+10,6579
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,8,1.884f97c3fa60cp+10,6605
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,9,1.b1754fd9e9737p+10,6535
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,10,1.959bfab01a9adp+10,6547
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,11,1.98905aaf7310bp+10,6521
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,12,1.c99d70fc7433cp+10,6616
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,13,1.7f2cc632f7e4ap+10,6580
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,14,1.921dd68dcd3a1p+10,6553
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,15,1.6d1098007eaf8p+10,6473
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,16,1.67734a0eaf21ap+10,6582
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,17,1.b7064ea0d373ap+10,6551
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,18,1.8556aaa711674p+10,6583
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,19,1.a7d0a6a4d6f4p+10,6551
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,20,1.90e0b88e7413dp+10,6535
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,21,1.b80073cb46f9fp+10,6589
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,22,1.a1eb3ec882592p+10,6560
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,23,1.a41a891a370eap+10,6545
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,24,1.8bf2afee609bep+10,6573
bucket_expo_alt_abs_0.001_k=k/2_kh=k/2,64,25,1.8c342c4f33499p+10,6590
